"","year","cow_code","n_attacks","party_banVD","oilHM","popHM","polity2","ccode","ccodealp","code_wb","dd_cga","ht_region","country_name","civtot","ethviol","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","Independent.Country","NewEthFrac","fd_n_attacks","d_civtot","lnoilcap","lnpop","partybanUni"
"1",1970,2,110,0,29.63186,205100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.292313477551716,NA,0,1.44475172491723e-07,19.1390082230426,0
"2",1971,2,106,0,39.00133,207700000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.296073621528115,-4,0,1.87777209248652e-07,19.1516052888463,0
"3",1972,2,34,0,38.06296,209900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.299914048054471,-72,0,1.81338525740443e-07,19.1621417847909,0
"4",1973,2,35,0,36.33941,211900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.303835069405285,1,0,1.71493189599027e-07,19.1716250232385,0
"5",1974,2,45,0,35.29984,213900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.307838339134421,10,0,1.65029626336184e-07,19.1810191740526,0
"6",1975,2,73,0,34.24996,2.16e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.311924811472108,28,0,1.58564617077325e-07,19.1907889656484,0
"7",1976,2,48,0,32.68213,2.18e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.316095171284243,-25,0,1.49918016310007e-07,19.2000056207534,0
"8",1977,2,68,0,30.94217,220200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.320350704936152,20,0,1.4051847342094e-07,19.2100467822529,0
"9",1978,2,36,0,29.4864,222600000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.324691892501679,-32,0,1.32463603083844e-07,19.2208869968057,0
"10",1979,2,19,0,27.80376,225100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.329119849173464,-17,0,1.23517362481468e-07,19.232055305877,0
"11",1980,2,24,0,27.05129,227200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.333635043997713,5,0,1.19063769305611e-07,19.2413412448113,0
"12",1981,2,35,0,29.805,229500000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.338238017190767,11,0,1.29869272673906e-07,19.2514135874649,0
"13",1982,2,34,0,29.426,231700000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.342929392035277,-1,0,1.27000423440044e-07,19.2609539894026,0
"14",1983,2,25,0,27.858,233800000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.347709177797341,-9,0,1.1915311515901e-07,19.2699766070022,0
"15",1984,2,42,0,27.735,235800000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.352578063785022,17,0,1.17620858130407e-07,19.2784945460675,0
"16",1985,2,10,0,28.446,237900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.357535853475783,-32,0,1.19571241309431e-07,19.2873609752732,0
"17",1986,2,26,0,28.416,240100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.362582724105978,16,0,1.1835068024697e-07,19.2965660611915,0
"18",1987,2,17,0,26.889,242300000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.36771817519403,-9,0,1.10973992943591e-07,19.3056871857868,0
"19",1988,2,9,0,27.256,244500000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.372942002293685,-8,0,1.11476476497978e-07,19.3147258668792,0
"20",1989,2,13,0,26.825,246800000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.378253834135745,4,0,1.08691242095053e-07,19.3240888499955,0
"21",1990,2,9,0,26.501,249600000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.383652834321511,-4,0,1.06173872497385e-07,19.3353701944595,0
"22",1991,2,15,0,26.177,2.53e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.389138258943373,6,0,1.03466397870248e-07,19.3489000466918,0
"23",1992,2,5,0,26.25,256500000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.394709011856508,-10,0,1.02339176114843e-07,19.3626392225751,0
"24",1994,2,15,0,23.745,263100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.406100672134181,10,0,9.02508511610119e-08,19.3880447460105,0
"25",1995,2,15,0,22.957,266300000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.411918497548569,0,0,8.62072813723878e-08,19.4001340507842,0
"26",1996,2,10,0,22.457,269400000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.417815344572466,-5,0,8.33593135302622e-08,19.4117078219405,0
"27",1997,2,9,0,22.351,272700000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.4237887324799,-1,0,8.19618594933801e-08,19.4238828478158,0
"28",1998,2,15,0,22.017,275900000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.429836232827342,6,0,7.98006491243208e-08,19.4355490391875,0
"29",1999,2,31,0,22.546,2.79e+08,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.4359554459556,16,0,8.08100325089619e-08,19.4467223397856,0
"30",2000,2,21,0,21.034,282200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.442143192783394,-10,0,7.45357874287617e-08,19.458126597383,0
"31",2001,2,24,0,21.765,285200000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.448396436026664,3,0,7.63148639583402e-08,19.4687012465044,0
"32",2002,2,9,0,22.045,288100000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.454711498556218,-15,0,7.65185669971983e-08,19.4788182000548,0
"33",2003,2,22,0,22.446,290800000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.461084833994187,13,0,7.7187067089952e-08,19.4881463036236,0
"34",2004,2,5,0,22.677,293600000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.467512126849651,-17,0,7.72377354444376e-08,19.4977288547046,0
"35",2005,2,8,0,21.891,296500000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.473989465813065,3,0,7.3831363184347e-08,19.5075577764021,0
"36",2006,2,3,0,21.371,299400000,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.480511890788736,-5,0,7.13794229338993e-08,19.5172910299498,0
"37",2007,2,5,0,21.757,NA,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.487074686628692,2,0,NA,NA,0
"38",2008,2,4,0,20.972,NA,10,840,"USA",840,1,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.493672668959241,-1,0,NA,NA,0
"39",2009,2,2,0,NA,NA,10,840,"USA",840,NA,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.500300610535764,-2,0,NA,NA,0
"40",2010,2,5,0,NA,NA,10,840,"USA",840,NA,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.506952545098441,3,0,NA,NA,0
"41",2011,2,1,0,NA,NA,10,840,"USA",840,NA,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.513622666651409,-4,0,NA,NA,0
"42",2012,2,1,0,NA,NA,10,840,"USA",840,NA,5,0,0,0,"0","0","0","0","3","1","0","1","1","0",0,1,0.520304678817195,0,0,NA,NA,0
"43",1970,20,2,0,8.782,21324000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.692253123562418,NA,0,4.11836343710901e-07,16.8753437569248,0
"44",1971,20,0,0,10.75,21645535,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.693120411273765,-2,0,4.96638097889875e-07,16.8903097555775,0
"45",1972,20,0,0,8.4483,21993631,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.693962705603281,0,0,3.84124766826312e-07,16.9062634694094,0
"46",1973,20,0,0,10.2,22369408,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.694781411967234,0,0,4.55979777227714e-07,16.9232048691018,0
"47",1974,20,0,0,9.42417,22774087,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.695578026334387,0,0,4.13811014655151e-07,16.9411339124912,0
"48",1975,20,0,0,9.4,23209000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.696354020448084,0,0,4.05015213727097e-07,16.9600506924452,0
"49",1976,20,0,0,7.1,23518000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.697110781399266,0,0,3.01896374292397e-07,16.9732766433655,0
"50",1977,20,0,0,6.2,23796000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.697849937564845,0,0,2.60547957239514e-07,16.9850280572899,0
"51",1978,20,0,0,6,24036000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.698573133804809,0,0,2.49625530398267e-07,16.995063264436,0
"52",1979,20,0,0,6,24277000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.699281902759243,0,0,2.47147475253192e-07,17.0050399580372,0
"53",1980,20,1,0,6.8,24593000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.69997790720245,1,0,2.76501405292578e-07,17.0179724075642,0
"54",1981,20,0,0,6.4,24900000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.700662951176479,-1,0,2.57028079317569e-07,17.0303783614349,0
"55",1982,20,0,0,7.3,25202000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.701338791743468,0,0,2.89659508838203e-07,17.0424339144118,0
"56",1983,20,0,0,7.02,25456000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.702007203186263,0,0,2.75769917957359e-07,17.0524620295597,0
"57",1984,20,0,0,6.73,25702000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.702670186512394,0,0,2.6184729287228e-07,17.0620793678492,0
"58",1985,20,0,0,7.075,25942000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.703329703384765,0,0,2.72723731268319e-07,17.0713738348828,0
"59",1986,20,0,0,6.5,26204000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.703987622190483,0,0,2.48053701456043e-07,17.0814226288339,0
"60",1987,20,0,0,6.85,26550000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.704646108568068,0,0,2.58003733290401e-07,17.0945403056522,0
"61",1988,20,0,0,6.825,26895000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.705307282737469,0,0,2.53764607991872e-07,17.1074509536895,0
"62",1989,20,0,0,6.785514,27379000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.705973328741081,0,0,2.47836413322476e-07,17.1252868541481,0
"63",1990,20,0,0,6.133495,27791000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.706646525832913,0,0,2.20700741974663e-07,17.1402227852382,0
"64",1991,20,0,0,5.782949,28171682,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.707329195168015,0,0,2.05275226619913e-07,17.1538278469802,0
"65",1992,20,0,0,5.587798,28519597,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.708023786106583,0,0,1.9592834544959e-07,17.1661020229757,0
"66",1994,20,0,0,5.095551,29111906,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.709458110029245,0,0,1.75033216812103e-07,17.1866577893599,0
"67",1995,20,0,0,5.037984,29354000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.71020305437066,0,0,1.71628519767307e-07,17.1949393811533,0
"68",1996,20,0,0,4.89846,29671900,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.710969893728388,0,0,1.65087493371122e-07,17.2057110279652,0
"69",1997,20,0,0,4.893642,29987200,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.711761111126776,0,0,1.63191014930591e-07,17.2162811819116,0
"70",1998,20,0,0,4.839189,30247900,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.712579496025936,0,0,1.59984283679747e-07,17.2249373185437,0
"71",1999,20,1,0,4.930827,30499200,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.713427597281698,1,0,1.61670686425759e-07,17.2332110117254,0
"72",2000,20,1,0,4.930827,30769700,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.714307894510735,0,0,1.60249420882786e-07,17.2420409974944,0
"73",2001,20,0,0,4.706104,31081900,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.715223022908014,-1,0,1.51409780130876e-07,17.2521362141563,0
"74",2002,20,0,0,4.858,31362000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.716175216296708,0,0,1.54900823494612e-07,17.2611075269231,0
"75",2003,20,0,0,180.021,31630000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.717166801002149,0,0,5.69144760393168e-06,17.2696165952818,0
"76",2004,20,0,0,178.893,31989000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.718199955184296,0,0,5.5923129758465e-06,17.2809026516684,0
"77",2005,20,0,0,178.8,32312000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.719276350167537,0,0,5.53353259786799e-06,17.2909492362254,0
"78",2006,20,2,0,178.7924,32649000,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.720397571698931,2,0,5.47618335779731e-06,17.3013247853463,0
"79",2007,20,0,0,179.21,NA,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.721564604143045,-2,0,NA,NA,0
"80",2008,20,0,0,178.592,NA,10,124,"CAN",124,1,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.722778054214668,0,0,NA,NA,0
"81",2009,20,0,0,NA,NA,10,124,"CAN",124,NA,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.724037885874843,0,0,NA,NA,0
"82",2010,20,0,0,NA,NA,10,124,"CAN",124,NA,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.725343010100841,0,0,NA,NA,0
"83",2011,20,0,0,NA,NA,10,124,"CAN",124,NA,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.726691739156192,0,0,NA,NA,0
"84",2012,20,1,0,NA,NA,10,124,"CAN",124,NA,5,0,0,0,"0","0","0","0","3","2","0","1","0","0",0,1,0.728081101459849,1,0,NA,NA,0
"85",1977,40,0,1,0,9625166,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.463089550810964,0,0,0,16.0798916847426,1
"86",1978,40,0,1,0,9700304,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.464637399163224,0,0,0,16.0876677831887,1
"87",1979,40,0,1,0,9765272,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.466182493158316,0,0,0,16.0943429764877,1
"88",1980,40,0,1,0,9823291,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.467725031455637,0,0,0,16.1002667565692,1
"89",1981,40,0,1,0,9873616,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.469265051627128,0,0,0,16.1053767070305,1
"90",1982,40,0,1,0,9917304,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.470802449413656,0,0,0,16.1097916681302,1
"91",1983,40,0,1,0,9961545,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.472337000585099,0,0,0,16.1142427380128,1
"92",1984,40,0,1,0,10015571,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.473869059041333,0,0,0,16.1196515399351,1
"93",1985,40,0,1,0,10085530,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.475398226486149,0,0,0,16.1266122812865,1
"94",1986,40,0,1,0,10174919,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.476924665654272,0,0,0,16.1354363285733,1
"95",1987,40,0,1,0,10280869,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.478448366075604,0,0,0,16.1457953474925,1
"96",1988,40,0,1,0,10395210,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.479969022126313,0,0,0,16.1568556810904,1
"97",1989,40,0,1,0,10506107,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.481487016398135,0,0,0,16.1674672651006,1
"98",1990,40,0,1,0,10604907,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.483001935418815,0,0,0,16.1768273764941,1
"99",1991,40,1,1,0.1,10688916,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.484514155960391,1,0,9.35548567569077e-09,16.184717874679,1
"100",1992,40,0,1,0.1,10760424,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","1","1","2","1","1","0","1",0,1,0.48602324493718,-1,0,9.29331407506989e-09,16.191385517126,1
"101",1994,40,1,1,0.1,10877253,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.48903238321427,1,0,9.19349769860677e-09,16.2021842858956,1
"102",1995,40,0,1,0.1,10929915,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.490532410115041,-1,0,9.14920202077653e-09,16.2070140833613,1
"103",1996,40,0,1,0.1,10979923,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.492029500909964,0,0,9.10753202037365e-09,16.2115789812706,1
"104",1997,40,0,1,0.1,11026029,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.493523234034367,0,0,9.06944826235066e-09,16.2157693082752,1
"105",1998,40,0,1,0.255,11068402,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.495013979952868,0,0,2.30385556864834e-08,16.2196049401546,1
"106",1999,40,0,1,0.2835,11107081,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.496501353275052,0,0,2.55242574926884e-08,16.223093390821,1
"107",2000,40,0,1,0.2835,11142065,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.497985709873583,0,0,2.54441162677428e-08,16.226238143328,1
"108",2001,40,0,1,0.2835,11173872,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.499466682603658,0,0,2.53716882060363e-08,16.2290887537718,1
"109",2002,40,0,1,0.75,11202599,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.500944402402911,0,0,6.69487478582041e-08,16.2316563629165,1
"110",2003,40,0,1,0.75,11227307,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.502418998403895,0,0,6.68014132790836e-08,16.2338594938609,1
"111",2004,40,0,1,0.75,11246670,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.503889915117451,0,0,6.66864037293266e-08,16.2355826427981,1
"112",2005,40,0,1,0.75,11259905,-7,192,"CUB",192,0,2,0,0,0,"0","0","1","0","1","2","1","1","0","1",0,1,0.505357764623935,0,0,6.66080197685661e-08,16.2367587436953,1
"113",2006,40,0,1,0.75,11266701,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.506821938588162,0,0,6.65678423542925e-08,16.2373621191178,1
"114",2007,40,0,1,0.124,NA,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.508282877903092,0,0,NA,NA,1
"115",2008,40,0,1,0.124,NA,-7,192,"CUB",192,0,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.509740254421683,0,0,NA,NA,1
"116",2009,40,0,1,NA,NA,-7,192,"CUB",192,NA,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.511194177469261,0,0,NA,NA,1
"117",2011,40,0,1,NA,NA,-7,192,"CUB",192,NA,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.514091413972866,0,0,NA,NA,1
"118",2012,40,0,1,NA,NA,-7,192,"CUB",192,NA,2,0,0,0,"0","0","0","0","1","2","1","1","0","1",0,1,0.515534713973937,0,0,NA,NA,1
"119",1972,41,0,1,0,4880644,-10,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.107224801183098,0,0,0,15.4007877363355,1
"120",1973,41,1,1,0,4964629,-10,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.10716223410222,1,0,0,15.4178491296081,1
"121",1974,41,0,1,0,5051742,-10,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.107099467702969,-1,0,0,15.4352436922648,1
"122",1975,41,0,1,0,5143889,-10,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.107037070201681,0,0,0,15.4533199661287,1
"123",1976,41,0,1,0,5241425,-10,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106974473400384,0,0,0,15.4721039658913,1
"124",1977,41,0,1,0,5344193,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106912243288181,0,0,0,15.4915211088159,1
"125",1978,41,0,1,0,5452912,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106849816162388,0,0,0,15.5116603358722,1
"126",1979,41,0,1,0,5568282,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106787568237514,0,0,0,15.5325971262656,1
"127",1980,41,0,1,0,5690627,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106725308592967,0,0,0,15.5543309933533,1
"128",1981,41,0,1,0,5820377,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.10666323045815,0,0,0,15.576875594242,1
"129",1982,41,0,1,0,5957009,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106601140637314,0,0,0,15.6000790674373,1
"130",1983,41,1,1,0,6098657,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.1065388526927,1,0,0,15.6235791409695,1
"131",1984,41,0,1,0,6242759,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106476932758587,-1,0,0,15.6469327900631,1
"132",1985,41,0,1,0,6387355,-9,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106415193290405,0,0,0,15.6698308126493,1
"133",1986,41,0,1,0,6531740,-8,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106353253475098,0,0,0,15.6921839282387,1
"134",1987,41,0,0,0,6676071,-8,332,"HTI",332,0,2,0,0,0,"0","0","0","1","1","2","1","1","1","1",0,1,0.106291682892898,0,0,0,15.7140401988182,0
"135",1988,41,0,0,0,6820327,-7,332,"HTI",332,0,2,0,0,0,"0","0","1","0","1","2","1","1","1","1",0,1,0.106229911984457,0,0,0,15.7354179758843,0
"136",1990,41,0,1,0,7109594,7,332,"HTI",332,0,2,0,0,0,"0","0","1","0","1","2","1","1","1","1",0,1,0.106106909569416,0,0,0,15.7769556974767,1
"137",1991,41,0,1,0,7254503,-7,332,"HTI",332,0,2,1,1,0,"0","0","1","0","1","2","1","1","1","1",0,1,0.106045299467597,0,1,0,15.7971329374742,1
"138",1992,41,0,1,0,7399228,-7,332,"HTI",332,0,2,0,0,0,"0","0","1","0","1","2","1","1","1","1",0,1,0.105984058735604,0,0,0,15.8168862284079,1
"139",1994,41,10,1,0,7689405,7,332,"HTI",332,0,2,0,0,0,"0","0","1","0","1","2","1","1","1","1",0,1,0.105861357347958,10,0,0,15.8553539652764,1
"140",1995,41,3,1,0,7835565,7,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.105800275403762,-7,0,0,15.8741835434888,0
"141",1996,41,0,1,0,7982751,7,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.105739184240114,-3,0,0,15.89279364686,0
"142",1997,41,0,1,0,8130767,7,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.10567827267088,0,0,0,15.9111658190175,0
"143",1998,41,0,1,0,8278984,7,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.105617351912435,0,0,0,15.9292308135185,0
"144",2000,41,0,1,0,8572836,-2,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.105495480626084,0,0,0,15.9641091576517,0
"145",2001,41,0,1,0,8717583,-2,332,"HTI",332,0,2,0,0,0,"0","0","0","0","1","2","0","1","1","1",0,1,0.105434908900099,0,0,0,15.9808525785649,0
