"","year","cow","wbcode","riots","antigov","country_name.x","country_id","country_abb.x","party_banVD","oilHM","popHM","polity2","ccode","country_name.y","ccodealp","code_wb","dd_cga","ht_region","country_name","country_abb.y","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","NewEthFrac","partybanUni"
"26",1960,211,"BEL",3,1,"Belgium",148,"BEL",0,0,9119000,10,56,"Belgium","BEL",56,1,5,"Belgium","BEL","0","0","0","0","1","3",0,"1","0",1,1,0.514699876099923,0
"28",1960,220,"FRA",5,4,"France",76,"FRA",0,0.2,45684002,5,250,"France (1963-)","FRA",250,NA,NA,"France","FRN","0","0","0","0","1","2",0,"1","1",1,0,NA,0
"29",1960,225,"CHE",0,0,"Switzerland",6,"CHE",0,0,5361995,10,756,"Switzerland","CHE",756,1,5,"Switzerland","SWZ","0","0","0","0","2","2",0,"1","0",0,0,0.229610297058096,0
"31",1960,235,"PRT",0,0,"Portugal",21,"PRT",1,0,8943100,-9,620,"Portugal","PRT",620,0,5,"Portugal","POR","0","0","0","0","1","1",0,"1","0",1,0,0.00145452657153244,0
"33",1960,305,"AUT",1,0,"Austria",144,"AUT",0,0.25,7048001,10,40,"Austria","AUT",40,1,5,"Austria","AUS","0","0","0","0","3","3",0,"1","1",0,1,0.0596447857125993,0
"34",1960,310,"HUN",0,0,"Hungary",210,"HUN",1,0.2,9984002,-7,348,"Hungary","HUN",348,0,1,"Hungary","HUN","0","0","0","0","1","2",0,"1","0",1,0,0.0518238659750034,0
"35",1960,325,"ITA",8,0,"Italy",82,"ITA",0,0.3,50199700,10,380,"Italy","ITA",380,1,5,"Italy","ITA","0","0","0","0","3","4",0,"1","0",0,1,0.041094240033223,0
"36",1960,339,"ALB",0,0,"Albania",12,"ALB",1,0.015,1610566,-9,8,"Albania","ALB",8,0,1,"Albania","ALB","0","0","1","0","1","2",1,"1","0",1,0,0.0695965555930622,1
"37",1960,350,"GRC",0,0,"Greece",164,"GRC",1,0,8327000,4,300,"Greece","GRC",300,1,5,"Greece","GRC","0","0","0","0",".a","3",0,"1","0",NA,1,0.0446199854411223,0
"38",1960,352,"CYP",0,1,"Cyprus",156,"CYP",0,0,572800,8,196,"Cyprus (1975-)","CYP",196,NA,NA,"Cyprus","CYP","0","0","0","0","3","3",0,"1","1",0,1,0.335820546644916,0
"39",1960,355,"BGR",0,0,"Bulgaria",152,"BGR",1,NA,7867006,-7,100,"Bulgaria","BGR",100,0,1,"Bulgaria","BUL","0","0","0","0","1","3",0,"1","0",1,1,0.249189660811658,0
"40",1960,360,"ROM",0,0,"Romania",190,"ROU",1,1,18403000,-7,642,"Romania","ROU",642,0,1,"Romania","ROM","0","0","1","0","3","2",1,"1","0",0,0,0.235915660649784,1
"41",1960,375,"FIN",0,0,"Finland",163,"FIN",0,0,4430001,10,246,"Finland","FIN",246,1,5,"Finland","FIN","0","0","0","0","3","3",0,"1","1",0,1,0.117229667585967,0
"42",1960,380,"SWE",0,0,"Sweden",5,"SWE",0,0,7480002,10,752,"Sweden","SWE",752,1,5,"Sweden","SWD","0","0","0","0","1","3",0,"1","0",1,1,0.116822501988042,0
"43",1960,385,"NOR",0,0,"Norway",186,"NOR",0,0,3580998,10,578,"Norway","NOR",578,NA,5,"Norway","NOR","0","0","0","0","1","3",0,"1","0",1,1,0.0210686538212344,0
"44",1960,390,"DNK",0,0,"Denmark",158,"DNK",0,0,4581000,10,208,"Denmark","DNK",208,1,5,"Denmark","DEN","0","0","0","0","1","3",0,"1","0",1,1,0.01181299035826,0
"52",1960,450,"LBR",0,0,"Liberia",86,"LBR",1,0,1059000,-6,430,"Liberia","LBR",430,0,4,"Liberia","LBR","0","0","0","0","1","1",NA,"1","1",1,0,0.886888009004445,NA
"53",1960,452,"GHA",0,0,"Ghana",7,"GHA",1,0,7130000,-8,288,"Ghana","GHA",288,0,4,"Ghana","GHA","0","0","1","0","1","3",1,"1","0",1,1,0.735634431214476,1
"58",1960,482,"CAF",0,0,"Central African Republic",71,"CAF",1,0,1530058,-7,140,"Central African Republic","CAF",140,NA,NA,"Central African Republic","CEN","0","0","0","0","1",".a",1,"1","0",1,NA,0.732771716859108,1
"59",1960,483,"TCD",0,0,"Chad",109,"TCD",0,0,2966822,-9,148,"Chad","TCD",148,NA,NA,"Chad","CHA","0","0","0","0",".a","1",0,"1","0",NA,0,0.805199854407479,0
"62",1960,520,"SOM",0,0,"Somalia",130,"SOM",0,0,2818943,7,706,"Somalia","SOM",706,NA,NA,"Somalia","SOM","0","0","0","0","1","2",0,"1","0",1,0,0.0656825303527945,0
"63",1960,530,"ETH",0,0,"Ethiopia",38,"ETH",1,0,22771000,-9,231,"Ethiopia (1993-)","ETH",231,NA,NA,"Ethiopia","ETH","0","0","0","1","1",".a",1,"1","0",1,NA,0.802680749610443,1
"66",1960,616,"TUN",0,0,"Tunisia",98,"TUN",1,0,4221000,-9,788,"Tunisia","TUN",788,0,3,"Tunisia","TUN","0","0","0","0","1","1",0,"1","1",1,0,0.0997009460819208,0
"67",1960,620,"LBY",1,0,"Libya",124,"LBY",1,1.5,1349000,-7,434,"Libya","LBY",434,0,3,"Libya","LIB","0","0","0","1","3","1",1,"1","0",0,0,0.142399077378046,1
"68",1960,625,"SDN",0,0,"Sudan",33,"SDN",1,0,11439446,-7,736,"Sudan (-2011)","SDN",736,0,4,"Sudan","SUD","0","0","0","0","1",".a",0,"1","0",1,NA,0.744602378580552,0
"69",1960,630,"IRN",1,1,"Iran",79,"IRN",1,35,21704000,-10,364,"Iran","IRN",364,0,3,"Iran","IRN","0","0","1","0","1","2",1,"1","0",1,0,0.729694802039951,1
"70",1960,640,"TUR",4,6,"Turkey",99,"TUR",1,0.07,27509000,7,792,"Turkey","TUR",792,0,3,"Turkey","TUR","0","0","1","0","1","1",1,"1","0",1,0,0.129720573602296,1
"72",1960,660,"LBN",0,1,"Lebanon",44,"LBN",0,0,1888000,2,422,"Lebanon","LBN",422,1,3,"Lebanon","LEB","0","0","0","0","1","1",0,"1","0",1,0,0.125416361024525,0
"74",1960,666,"ISR",0,0,"Israel",169,"ISR",0,0.04,2114000,10,376,"Israel","ISR",376,1,3,"Israel","ISR","0","0","0","0","1","3",0,"1","0",1,1,0.22163396871648,0
"78",1960,712,"MNG",0,0,"Mongolia",89,"MNG",1,0,959000,-7,496,"Mongolia","MNG",496,0,6,"Mongolia","MON","0","0","0","0","1","2",0,"1","0",1,0,0.399953439926012,0
"79",1960,713,"TWN",NA,NA,"Taiwan",48,"TWN",1,5e-04,11209160,-8,158,"Taiwan","TWN",158,0,6,"Taiwan","TAW","0","0","1","0","3","4",1,"1","0",0,1,0.195463376908761,1
"80",1960,731,"PRK",0,0,"Korea_North",41,"PRK",1,0,10946479,-8,408,"Korea, North","PRK",408,0,6,"North Korea","PRK","0","0","0","0","3","2",0,"1","0",0,0,0.00031754953970542,0
"81",1960,732,"KOR",7,2,"Korea_South",42,"KOR",0,0,25003092,8,410,"Korea, South","KOR",410,1,6,"South Korea","ROK","0","0","0","0","1","2",1,"1","0",1,0,7.05975061249253e-05,0
"82",1960,740,"JPN",12,8,"Japan",9,"JPN",0,0.05,94100000,10,392,"Japan","JPN",392,1,6,"Japan","JPN","0","0","0","0","3","4",0,"1","0",0,1,0.0119846098179276,0
"83",1960,750,"IND",10,2,"India",39,"IND",0,0.525,448300000,9,356,"India","IND",356,1,8,"India","IND","0","0","0","0","3","1",0,"1","0",0,0,NA,0
"84",1960,770,"PAK",0,0,"Pakistan",29,"PAK",1,0.025,48800000,-7,586,"Pakistan (1971-)","PAK",586,NA,NA,"Pakistan","PAK","0","0","0","0","3","3",NA,"1","0",0,1,0.584623315829323,NA
"85",1960,775,"MMR",0,0,"Burma_Myanmar",10,"MMR",0,0.045,21075000,8,104,"Myanmar","MMR",104,1,7,"Myanmar","MYA","0","0","0","0","1","1",0,"1","0",1,0,0.433118780313563,0
"86",1960,780,"LKA",1,0,"Sri Lanka",131,"LKA",0,0,10018000,7,144,"Sri Lanka","LKA",144,1,8,"Sri Lanka","SRI","0","0","0","0","1","1",0,"1","0",1,0,0.450917259060419,0
"89",1960,811,"KHM",0,0,"Cambodia",55,"KHM",1,0,5433000,-9,116,"Cambodia","KHM",116,0,7,"Cambodia","CAM","0","0","0","0","1","1",0,"1","0",1,0,0.231499017931927,0
"90",1960,812,"LAO",0,1,"Laos",123,"LAO",1,0,2124000,-1,418,"Laos","LAO",418,0,7,"Laos","LAO","0","0","0","0","3","1",0,"1","0",0,0,0.56204899440392,0
"91",1960,820,"MYS",0,0,"Malaysia",177,"MYS",0,0,8140000,10,458,"Malaysia (1966-)","MYS",458,NA,NA,"Malaysia","MAL","0","0","0","0","3","2",0,"1","0",0,0,0.600800582400028,0
"92",1960,840,"PHL",0,0,"Philippines",46,"PHL",1,0.001,27057000,5,608,"Philippines","PHL",608,1,7,"Philippines","PHI","0","0","0","0","1","1",0,"1","1",1,0,0.819316247443364,0
"93",1960,850,"IDN",1,0,"Indonesia",56,"IDN",0,9,93058000,-5,360,"Indonesia","IDN",360,0,7,"Indonesia","INS","0","0","1","0","1","3",1,"1","0",1,1,0.708807289291771,0
"94",1960,900,"AUS",1,0,"Australia",67,"AUS",0,0.001,10276477,10,36,"Australia","AUS",36,1,5,"Australia","AUL","0","0","0","0","3","4",0,"1","0",0,1,0.0211627828263885,0
"95",1960,920,"NZL",0,0,"New Zealand",185,"NZL",0,0,2371999,10,554,"New Zealand","NZL",554,1,5,"New Zealand","NEW","0","0","0","0","1","1",0,"1","0",1,0,0.185114806767319,0
"239",1961,2,"USA",7,3,"United States",20,"USA",0,31.61321,183700000,10,840,"United States","USA",840,1,5,"United States of America","USA","0","0","0","0","3","1",0,"1","1",0,0,0.26185619713409,0
"240",1961,20,"CAN",0,0,"Canada",66,"CAN",0,5,18271000,10,124,"Canada","CAN",124,1,5,"Canada","CAN","0","0","0","0","3","2",0,"1","0",0,0,0.68310653881651,0
"242",1961,41,"HTI",1,1,"Haiti",26,"HTI",1,0,3946900,-9,332,"Haiti","HTI",332,0,2,"Haiti","HAI","0","0","0","1","1","1",1,"1","1",1,0,0.107919371040568,1
"243",1961,42,"DOM",7,1,"Dominican Republic",114,"DOM",1,0,3463432,0,214,"Dominican Republic","DOM",214,0,2,"Dominican Republic","DOM","0","0","0","1","1","3",1,"1","1",1,1,0.40627244440134,1
"244",1961,70,"MEX",3,0,"Mexico",3,"MEX",0,2.25,39146000,-6,484,"Mexico","MEX",484,0,2,"Mexico","MEX","0","0","0","0","3","2",0,"1","1",0,0,0.540005096244269,0
"245",1961,90,"GTM",0,0,"Guatemala",78,"GTM",1,0,4252749,-5,320,"Guatemala","GTM",320,1,2,"Guatemala","GUA","0","0","1","0","1","4",1,"1","1",1,1,0.597365933468445,1
"246",1961,91,"HND",0,0,"Honduras",27,"HND",1,0,2070000,-1,340,"Honduras","HND",340,1,2,"Honduras","HON","0","0","1","0","1","4",1,"1","1",1,1,0.154607451899897,1
"247",1961,92,"SLV",0,0,"El Salvador",22,"SLV",1,0,2656524,-3,222,"El Salvador","SLV",222,0,2,"El Salvador","SAL","0","0","1","0","1","2",1,"1","1",1,0,0.196273245591606,1
"248",1961,93,"NIC",0,0,"Nicaragua",59,"NIC",1,0,1818866,-8,558,"Nicaragua","NIC",558,0,2,"Nicaragua","NIC","0","0","1","0","1","3",1,"1","1",1,1,0.466338032849653,1
"249",1961,94,"CRI",0,1,"Costa Rica",73,"CRI",1,0,1380952,10,188,"Costa Rica","CRI",188,1,2,"Costa Rica","COS","0","0","0","0","1","3",0,"1","1",1,1,0.262640880460172,0
"250",1961,95,"PAN",1,0,"Panama",92,"PAN",0,0,1159305,4,591,"Panama","PAN",591,1,2,"Panama","PAN","0","0","1","0","1","3",1,"1","1",1,1,0.497967500215989,0
"251",1961,100,"COL",0,0,"Colombia",15,"COL",1,0.75,17354389,7,170,"Colombia","COL",170,1,2,"Colombia","COL","0","0","0","1","1","3",1,"1","1",1,1,0.656605967725894,1
"252",1961,101,"VEN",0,3,"Venezuela",51,"VEN",0,18.5,7871121,6,862,"Venezuela","VEN",862,1,2,"Venezuela","VEN","0","0","0","0","3","4",0,"1","1",0,1,0.458377505516749,0
"253",1961,130,"ECU",2,0,"Ecuador",75,"ECU",0,0.03,4569394,-1,218,"Ecuador","ECU",218,1,2,"Ecuador","ECU","0","0","0","0","3","3",0,"1","1",0,1,0.665990500784874,0
